username, created_at, lng, lat, text
BayLuke_, Tue Jan 19 22:46:57 +0000 2021, -87.732013, 41.833585, @JavierVeg_ LET’S GO 🔥🔥🔥 https://t.co/9jVfUBHQTh 
KiairaTalia, Tue Jan 19 22:47:00 +0000 2021, -87.732013, 41.833585, @BrittDavis704 @netflix Right!! 
Cleveromantic2, Tue Jan 19 22:47:05 +0000 2021, -87.732013, 41.833585, Tell people there’s an invisible man in the sky who created the universe, and the vast majority believe you. Tell t… https://t.co/iF5DxlFr8S 
marklavengood, Tue Jan 19 22:47:05 +0000 2021, -85.402340, 43.359510, Sending love from the Bear Den - the new HQ for @bearmarkproductions @ Coral, Michigan https://t.co/l476gNAZxb 
rottengerm77, Tue Jan 19 22:47:06 +0000 2021, -87.732013, 41.833585, TRUTH! 👏🏼 
Butter72035882, Tue Jan 19 22:47:08 +0000 2021, -87.732013, 41.833585, @natxariana You're right that was about it. I don't know I was disappointed with #7,8,and 9. But I loved Rogue One… https://t.co/B8SmI2xoVF 
IAmRashardH, Tue Jan 19 22:47:15 +0000 2021, -87.732013, 41.833585, FUCK YEAH!!!!! 
wendyalas, Tue Jan 19 22:47:16 +0000 2021, -87.732013, 41.833585, Movies you need to watch if you haven’t already:“Locked Down” available on HBO Max“Save Yourself” available on Apple TV or Prime 
Dsminer59, Tue Jan 19 22:47:20 +0000 2021, -86.270540, 45.001180, #BidenHarrisInauguration 
JPGraziano, Tue Jan 19 22:47:22 +0000 2021, -87.732013, 41.833585, @daytonatortugas @LargeBarstool Helluva combo 
TatsOG55, Tue Jan 19 22:47:22 +0000 2021, -87.732013, 41.833585, May the perpetual light shine upon each one that lost their life to covid 🙏🏽 
Macole_LeeAnn, Tue Jan 19 22:47:23 +0000 2021, -87.732013, 41.833585, I’m ready to get tf out of Chicago 
NWJS_jobs, Tue Jan 19 22:47:26 +0000 2021, -89.873032, 38.706800, Can you recommend anyone for this job? Dispatch Driver https://t.co/CHDV6k0NHg Troy, IL 
MoneyTeamJesus, Tue Jan 19 22:47:26 +0000 2021, -87.732013, 41.833585, Me and my homie was taking about dealing with women with children and I’ve come to conclusion I can’t do it I ain’t… https://t.co/LNkjDUq9BJ 
SUPgirl2007, Tue Jan 19 22:47:26 +0000 2021, -87.732013, 41.833585, @katiecompa How the hell can you shoot your engagement photos at the west wing !!!! God i hate this family 
georgeh62867445, Tue Jan 19 22:47:27 +0000 2021, -89.266508, 39.739300, @ChadGilmartinCA @kayleighmcenany @JoeBiden @HHSGov @sfchronicle There won’t be any 
Jackie6585, Tue Jan 19 22:47:27 +0000 2021, -87.982156, 41.967728, @Acosta To expect anything else from him would be a waste of time .  He will never take responsibility.  He doesn’t… https://t.co/cJ76qqeYYR 
JLoganINC, Tue Jan 19 22:47:31 +0000 2021, -88.040002, 41.791584, 👏🏻 #COVIDMemorial https://t.co/VPI3jQUhAy 
ArmenianaGrande, Tue Jan 19 22:47:37 +0000 2021, -87.732013, 41.833585, @lilbinch69 I’m ded 😂 
aaron_klopfer, Tue Jan 19 22:47:40 +0000 2021, -87.732013, 41.833585, You come to me on the day my daughter ratio’d a podcaster with a small but respectable following, asking for a favor? 
MooreLoveInvest, Tue Jan 19 22:47:45 +0000 2021, -87.732013, 41.833585, Love this still! 
__YanYe__, Tue Jan 19 22:47:46 +0000 2021, -87.732013, 41.833585, If donald was helping everyone get jobs, how did all those people have time to commit terrorist acts...shouldn’t th… https://t.co/0egQqGbRmp 
_lotus, Tue Jan 19 22:47:48 +0000 2021, -87.732013, 41.833585, It’s obscene that some moron can become a cop in less time than it takes someone to become trained for pretty much… https://t.co/LjKAjA2DNM 
Ardel99_, Tue Jan 19 22:47:56 +0000 2021, -87.732013, 41.833585, Them fake checkups don’t work wit me im good mind yo business 
teezythegreat, Tue Jan 19 22:47:59 +0000 2021, -87.732013, 41.833585, yeah he's close and i would probably take kd over bird but career wise its totally fine and expected for bird to be… https://t.co/DKsLXzBVKu 
CWHarris7, Tue Jan 19 22:48:01 +0000 2021, -87.732013, 41.833585, @nurbaszewski @DawindycityP 8t certainly had a different feel to it. It felt like we took it to the opponent  as op… https://t.co/4QG1vfWq8k 
Directhim, Tue Jan 19 22:48:10 +0000 2021, -87.732013, 41.833585, @hbeast11 Throw in a Texans 4 rounder in 2021 and I’m game https://t.co/2smVccK4uZ 
shawn_anand, Tue Jan 19 22:48:14 +0000 2021, -88.151832, 42.072284, @Jim_Jordan Don't forget job's lost and being outsourced to other nation's!  All the America First that was done in… https://t.co/MS2JF3xdDI 
MoneyTeamJesus, Tue Jan 19 22:48:15 +0000 2021, -87.732013, 41.833585, Need my damn hair twisted 
True_Niko, Tue Jan 19 22:48:16 +0000 2021, -86.441236, 39.766555, @OriginalFunko  Will you ever do funko pops for @CWBatwoman? More specifically @RachieSkarsten Alice/ Beth Kane???… https://t.co/dfGFHe6CvP 
TaylorDeuce, Tue Jan 19 22:48:20 +0000 2021, -87.759533, 41.708954, @eyelovenike Aht aht. 💀 I pay my Bill 
Jazelner, Tue Jan 19 22:48:21 +0000 2021, -87.732013, 41.833585, I was 21, am 22, and every day I watched the news with my parents witnessing major events in American history. Kobe… https://t.co/74aWoelBoA 
Jarrellthacomic, Tue Jan 19 22:48:23 +0000 2021, -87.732013, 41.833585, This the longest Samuel L. Jackson went without making movies for 30 years. 
CWHarris7, Tue Jan 19 22:48:26 +0000 2021, -87.732013, 41.833585, @violet_quartz_ 🤣 
morganmartinez, Tue Jan 19 22:48:28 +0000 2021, -87.732013, 41.833585, @mimisaywhat :))))) 
CoolkiddssTy, Tue Jan 19 22:48:29 +0000 2021, -87.708777, 41.642093, $Thbr will run organically 🍇🥝 @MrZackMorris 
morganmartinez, Tue Jan 19 22:48:35 +0000 2021, -87.732013, 41.833585, @marisa_laz @chicagosmayor lmao 
SusanDanzig219, Tue Jan 19 22:48:37 +0000 2021, -87.732013, 41.833585, @cindyalutz @Takewhatyounee5 @jeneps I cried at Biden's speech leaving Delaware. https://t.co/NOw0A3X5s3 
bcojoe, Tue Jan 19 22:48:38 +0000 2021, -86.441236, 39.766555, There you go... Inciting followers to wish for God's Blessing on America. Bold move, Mr. Vice President. Let's just… https://t.co/aCEpsLZNQa 
TheKoglin, Tue Jan 19 22:48:39 +0000 2021, -86.441236, 39.766555, how do y’all respond to someone when they respond “k” or “ok” 
GingerTee1, Tue Jan 19 22:48:42 +0000 2021, -87.818785, 41.868485, @Ualreadylate I read the article but I'm a skeptic about this 
XXXChristianM, Tue Jan 19 22:48:45 +0000 2021, -87.732013, 41.833585, Great minds think alike gorgeous boy 
_kennedy60, Tue Jan 19 22:48:46 +0000 2021, -87.732013, 41.833585, Xi Jinping explaining how genociding Uighurs results in the fulfillment of the Chinese Dream and Socialism With Chi… https://t.co/C02YOnyIvf 
AnnaVanwingen, Tue Jan 19 22:48:51 +0000 2021, -86.270540, 45.001180, My TGTATBO'S album signed by Corbyn just came in today!! @whydontwemusic @corbynbesson @SeaveyDaniel @ImZachHerron… https://t.co/uvUeLcP39y 
irootsorg, Tue Jan 19 22:48:52 +0000 2021, -86.441236, 39.766555, @TheBelaaz Hoping....praying! 
KoleHart12, Tue Jan 19 22:48:52 +0000 2021, -86.270540, 45.001180, I would like to take this moment to announce my presidential campaign in 2032. Idk what I’m doing, but neither have… https://t.co/DUDWuKGxgJ 
KayDaProducer, Tue Jan 19 22:48:54 +0000 2021, -89.266508, 39.739300, @GoldxHaze check yo dm bro 
leggomyaggo98, Tue Jan 19 22:48:54 +0000 2021, -87.759533, 41.708954, Chains 
ludy_05, Tue Jan 19 22:48:55 +0000 2021, -86.270540, 45.001180, @WOSpanish @cclebster Me too &amp; cooking dinner at same time https://t.co/DI9cW8pYyX 
MDurpettiEvents, Tue Jan 19 22:48:55 +0000 2021, -87.732013, 41.833585, What’s for dinner? 🤩🥂🔥🥩 @Gene_Georgetti 👈🏼 https://t.co/Hkq88Aog6Q 
aaron_klopfer, Tue Jan 19 22:48:57 +0000 2021, -87.732013, 41.833585, @KirkmanBrandon Perfect 
psorensen, Tue Jan 19 22:48:59 +0000 2021, -87.732013, 41.833585, @EricAllixRogers It won’t be complete anyway. There are bound to be secret pardons that won’t be revealed until som… https://t.co/cdBze4ZVBc 
WTFisCLB, Tue Jan 19 22:49:04 +0000 2021, -88.310447, 42.039940, Biden and Harris shaking up like https://t.co/KGKOX0OWin https://t.co/Vc6kzxYNyB 
TokyoBoiler, Tue Jan 19 22:49:09 +0000 2021, -87.985476, 42.095656, @ProjectLincoln #AliceMustGo 
